2013-07-15 01:41:21.826366 : Error(101)!! There was 14 messages missing between the last command (activate) at (2013-07-15 01:40:43.034412) and current command (calibrate) at (calibrate). 
2013-07-15 01:41:46.876639 : Error(103)!! Invalid command sequence. The command connect cannot come after (calibrate) that arrived recently at (2013-07-15 01:41:42.790119).
Message : You can not run (connect) command while you are in vote cast session! Exit the vote cast session first.
 
2013-07-15 01:41:58.034168 : Error(103)!! Invalid command sequence. The command activate cannot come after (calibrate) that arrived recently at (2013-07-15 01:41:42.790119).
Message : You can not run (activate) command while you are in vote cast session! Exit the vote cast session first. 
 
2013-07-15 01:42:35.917910 : Error(101)!! There was 2 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-15 03:22:21.423880 : Error(101)!! There was 10 messages missing between the last command (report) at (2013-07-15 01:43:43.838933) and current command (calibrate) at (calibrate). 
2013-07-15 08:50:15.612546 : Error(101)!! There was 16 messages missing between the last command (report) at (2013-07-15 03:23:06.473991) and current command (connect) at (connect). 
2013-07-15 08:50:52.603054 : Error(101)!! There was 1 messages missing between the last command (select) at (2013-07-15 08:50:46.946784) and current command (votercast) at (votercast). 
2013-07-17 00:28:59.564520 : Error(101)!! There was 3 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-17 10:54:19.259260 : Error(101)!! There was 7 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-17 10:55:17.809151 : Error(101)!! There was 9 messages missing between the last command (calibrate) at (2013-07-17 10:54:57.718272) and current command (calibrate) at (calibrate). 
2013-07-17 10:56:05.229415 : Error(101)!! There was 8 messages missing between the last command (calibrate) at (2013-07-17 10:54:57.718272) and current command (calibrate) at (calibrate). 
2013-07-17 10:58:38.418406 : Error(101)!! There was 11 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-17 10:59:45.933311 : Error(101)!! There was 1 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-17 10:59:51.894716 : Error(101)!! There was 3 messages missing between the last command (calibrate) at () and current command (calibrate) at (calibrate). 
2013-07-17 11:00:07.852448 : Error(101)!! There was 8 messages missing between the last command (calibrate) at () and current command (calibrate) at (calibrate). 
2013-07-17 11:00:20.147893 : Error(101)!! There was 7 messages missing between the last command (calibrate) at () and current command (calibrate) at (calibrate). 
2013-07-17 11:00:24.964299 : Error(101)!! There was 2 messages missing between the last command (calibrate) at (2013-07-17 11:00:21.616055) and current command (calibrate) at (calibrate). 
2013-07-17 11:03:22.381082 : Error(101)!! There was 2 messages missing between the last command (calibrate) at (2013-07-17 11:02:24.877053) and current command (calibrate) at (calibrate). 
2013-07-17 11:03:24.452294 : Error(101)!! There was 1 messages missing between the last command (calibrate) at (2013-07-17 11:02:24.877053) and current command (calibrate) at (calibrate). 
2013-07-17 11:04:40.746757 : Error(101)!! There was 4 messages missing between the last command (calibrate) at (2013-07-17 11:03:43.392780) and current command (calibrate) at (calibrate). 
2013-07-17 11:05:19.195838 : Error(101)!! There was 7 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-17 11:06:52.865348 : Error(101)!! There was 5 messages missing between the last command (calibrate) at (2013-07-17 11:05:22.391445) and current command (calibrate) at (calibrate). 
2013-07-17 11:07:35.451139 : Error(101)!! There was 10 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-17 11:07:53.765974 : Error(101)!! There was 9 messages missing between the last command (calibrate) at (2013-07-17 11:07:37.455959) and current command (calibrate) at (calibrate). 
2013-07-17 11:08:00.217236 : Error(101)!! There was 2 messages missing between the last command (calibrate) at (2013-07-17 11:07:37.455959) and current command (calibrate) at (calibrate). 
2013-07-17 11:08:07.999224 : Error(101)!! There was 2 messages missing between the last command (calibrate) at (2013-07-17 11:08:03.372810) and current command (calibrate) at (calibrate). 
2013-07-17 11:08:57.281749 : Error(101)!! There was 1 messages missing between the last command (activate) at (2013-07-17 11:08:41.473420) and current command (cancel) at (cancel). 
2013-07-17 11:08:57.281926 : Error (120)!! Unexpected behavious!! Canceled option ID 01010101 is not selected before! 
2013-07-17 11:09:46.517796 : Error(101)!! There was 4 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-17 11:17:22.909326 : Error(101)!! There was 1 messages missing between the last command (report) at (2013-07-17 11:16:01.023092) and current command (calibrate) at (calibrate). 
2013-07-17 12:10:41.622133 : Error(101)!! There was 16 messages missing between the last command (activate) at (2013-07-17 12:10:01.192895) and current command (officercancel) at (officercancel). 
2013-07-17 12:10:41.622458 : Error (111)!!Error (110)!! Conflict vote identifiers! The vote has been forced to be canceled by the officer 
Message: the Vote (00000000) canceled by the officer successfuly.The reason is Bad Communication
 
2013-07-17 13:25:33.171115 : Error(101)!! There was 16 messages missing between the last command (close) at (2013-07-17 13:25:09.334751) and current command (calibrate) at (calibrate). 
2013-07-17 13:34:58.552787 : Error(101)!! There was 1 messages missing between the last command (select) at (2013-07-17 13:34:53.679005) and current command (review) at (review). 
2013-09-12 18:25:27.104064 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:27.345135 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:27.395888 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:27.447841 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:27.500628 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:27.552138 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:27.604239 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:27.656006 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:27.707467 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:27.760033 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:27.813153 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:27.865878 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:27.919420 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:27.970906 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.023332 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.075756 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.128131 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.180754 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.234601 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.287812 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.340661 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.393067 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.446000 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.500291 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.552119 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.607325 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.659544 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.712295 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.765075 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.819742 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.872601 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.926486 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:28.980636 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.034453 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.087511 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.141578 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.194085 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.247208 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.300283 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.354490 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.407657 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.460555 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.513213 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.566097 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.620406 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.674171 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.728208 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.781348 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.835615 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
